11L    JOAQUIN 151001 0000  23.9N   72.9W ATL  100   951
11L    JOAQUIN 151001 0000  23.9N   72.9W ATL  100   951
11L    JOAQUIN 150930 1800  24.4N   72.5W ATL   80   968
11L    JOAQUIN 150930 1800  24.4N   72.5W ATL   80   968
11L    JOAQUIN 150930 1800  24.4N   72.5W ATL   80   968
11L    JOAQUIN 150930 1200  24.9N   72.2W ATL   70   971
11L    JOAQUIN 150930 1200  24.9N   72.2W ATL   70   971
11L    JOAQUIN 150930 1200  24.9N   72.2W ATL   70   971
11L    JOAQUIN 150930 0600  25.5N   71.8W ATL   60   988
11L    JOAQUIN 150930 0600  25.5N   71.8W ATL   60   988
11L    JOAQUIN 150930 0000  25.7N   71.5W ATL   60   988
11L    JOAQUIN 150930 0000  25.7N   71.5W ATL   60   988
11L    JOAQUIN 150929 1800  26.0N   70.8W ATL   55   992
11L    JOAQUIN 150929 1800  26.0N   70.8W ATL   55   992
11L    JOAQUIN 150929 1200  26.3N   70.5W ATL   45   999
11L    JOAQUIN 150929 0600  26.5N   70.3W ATL   35  1002
11L    JOAQUIN 150929 0000  26.7N   70.1W ATL   35  1002
11L    JOAQUIN 150928 1800  27.5N   70.0W ATL   30  1006
11L    JOAQUIN 150928 1200  27.5N   69.3W ATL   30  1006
11L    JOAQUIN 150928 0600  27.4N   68.9W ATL   30  1007
11L    JOAQUIN 150928 0000  27.3N   68.6W ATL   30  1007
11L    JOAQUIN 150927 1800  27.2N   68.5W ATL   30  1007
11L    JOAQUIN 150927 1200  27.1N   68.5W ATL   25  1009
11L    JOAQUIN 150927 0600  27.0N   68.5W ATL   20  1010
11L    JOAQUIN 150927 0000  26.9N   68.6W ATL   20  1011
11L    JOAQUIN 150926 1800  26.8N   68.7W ATL   20  1011
11L    JOAQUIN 150926 1200  26.4N   68.7W ATL   25  1011
11L    JOAQUIN 150926 0600  25.5N   68.6W ATL   20  1011
11L    JOAQUIN 150926 0000  24.5N   68.5W ATL   20  1011
11L    JOAQUIN 150925 1800  24.0N   68.5W ATL   15  1009
11L    JOAQUIN 150925 1200  23.5N   68.5W ATL   15  1009
11L    JOAQUIN 150925 0600  23.0N   68.5W ATL   15  1009
